"Time (s)","Channel 1 (V)","Channel 2 (V)"
0.0032882385177453,0.997618697453557,2.54888330336107
0.0032894885177453,0.997618697453557,2.54519300338465
0.0032907385177453,0.993953132549596,2.54150270340823
0.0032919885177453,0.997618697453557,2.54150270340823
0.0032932385177453,0.993953132549596,2.54519300338465
0.0032944885177453,0.997618697453557,2.54519300338465
0.0032957385177453,1.00128426235752,2.54519300338465
0.0032969885177453,1.00494982726148,2.54150270340823
0.0032982385177453,0.997618697453557,2.54519300338465
0.0032994885177453,0.997618697453557,2.54150270340823
0.0033007385177453,0.997618697453557,2.54519300338465
0.0033019885177453,0.997618697453557,2.54150270340823
0.0033032385177453,1.00128426235752,2.54519300338465
0.0033044885177453,0.993953132549596,2.54150270340823
0.0033057385177453,0.993953132549596,2.54519300338465
0.0033069885177453,0.997618697453557,2.54150270340823
0.0033082385177453,0.997618697453557,2.54150270340823
0.0033094885177453,0.993953132549596,2.54888330336107
0.0033107385177453,1.00128426235752,2.54888330336107
0.0033119885177453,0.993953132549596,2.54519300338465
0.0033132385177453,0.997618697453557,2.54150270340823
0.0033144885177453,1.00494982726148,2.54888330336107
0.0033157385177453,1.00128426235752,2.54888330336107
0.0033169885177453,0.997618697453557,2.54150270340823
0.0033182385177453,0.997618697453557,2.54519300338465
0.0033194885177453,0.997618697453557,2.54519300338465
0.0033207385177453,0.997618697453557,2.54888330336107
0.0033219885177453,0.997618697453557,2.54888330336107
0.0033232385177453,0.997618697453557,2.54519300338465
0.0033244885177453,0.997618697453557,2.54150270340823
0.0033257385177453,1.00494982726148,2.54519300338465
0.0033269885177453,0.997618697453557,2.54150270340823
0.0033282385177453,0.993953132549596,2.54519300338465
0.0033294885177453,0.993953132549596,2.54519300338465
0.0033307385177453,0.997618697453557,2.54519300338465
0.0033319885177453,1.00128426235752,2.54519300338465
0.0033332385177453,0.997618697453557,2.54519300338465
0.0033344885177453,0.997618697453557,2.54888330336107
0.0033357385177453,1.00128426235752,2.54519300338465
0.0033369885177453,0.997618697453557,2.54519300338465
0.0033382385177453,0.993953132549596,2.54519300338465
0.0033394885177453,0.997618697453557,2.54519300338465
0.0033407385177453,0.997618697453557,2.54150270340823
0.0033419885177453,1.00128426235752,2.54519300338465
0.0033432385177453,0.997618697453557,2.54519300338465
0.0033444885177453,1.00128426235752,2.54150270340823
0.0033457385177453,0.997618697453557,2.54888330336107
0.0033469885177453,0.997618697453557,2.54519300338465
0.0033482385177453,0.993953132549596,2.54519300338465
0.0033494885177453,0.993953132549596,2.54519300338465
0.0033507385177453,0.993953132549596,2.54519300338465
0.0033519885177453,0.993953132549596,2.54888330336107
0.0033532385177453,0.997618697453557,2.54888330336107
0.0033544885177453,1.00128426235752,2.54888330336107
0.0033557385177453,0.997618697453557,2.54150270340823
0.0033569885177453,0.997618697453557,2.54150270340823
0.0033582385177453,0.997618697453557,2.54519300338465
0.0033594885177453,0.997618697453557,2.54888330336107
0.0033607385177453,0.993953132549596,2.54519300338465
0.0033619885177453,0.997618697453557,2.54150270340823
0.0033632385177453,0.997618697453557,2.54888330336107
0.0033644885177453,0.993953132549596,2.54519300338465
0.0033657385177453,0.997618697453557,2.54150270340823
0.0033669885177453,0.997618697453557,2.54519300338465
0.0033682385177453,0.997618697453557,2.54519300338465
0.0033694885177453,0.993953132549596,2.54519300338465
0.0033707385177453,0.993953132549596,2.54150270340823
0.0033719885177453,0.997618697453557,2.54150270340823
0.0033732385177453,1.00128426235752,2.54519300338465
0.0033744885177453,0.997618697453557,2.53781240343181
0.0033757385177453,0.997618697453557,2.54150270340823
0.0033769885177453,0.997618697453557,2.54519300338465
0.0033782385177453,0.997618697453557,2.54519300338465
0.0033794885177453,1.00494982726148,2.54519300338465
0.0033807385177453,0.997618697453557,2.54888330336107
0.0033819885177453,0.997618697453557,2.54519300338465
